year,topic,posts,share
2021,Public safety / crime,0,0.0
2021,Governance / operations,0,0.0
2021,Politics / elections,0,0.0
2021,Housing,0,0.0
2021,Transportation / streets / infrastructure,0,0.0
2021,Culture / history,0,0.0
2021,Data / methods,1,1.0
2021,Cross-cutting series,0,0.0
2021,Health / human services,0,0.0
2021,Education / youth,0,0.0
2021,Economy / labor / tech,0,0.0
2021,Demography / immigration,0,0.0
2021,Race / inequality,0,0.0
2021,Climate / environment,0,0.0
2021,Other / unclassified,0,0.0
2022,Public safety / crime,27,0.586957
2022,Governance / operations,0,0.0
2022,Politics / elections,1,0.021739
2022,Housing,0,0.0
2022,Transportation / streets / infrastructure,5,0.108696
2022,Culture / history,7,0.152174
2022,Data / methods,1,0.021739
2022,Cross-cutting series,2,0.043478
2022,Health / human services,0,0.0
2022,Education / youth,0,0.0
2022,Economy / labor / tech,0,0.0
2022,Demography / immigration,0,0.0
2022,Race / inequality,0,0.0
2022,Climate / environment,0,0.0
2022,Other / unclassified,3,0.065217
2023,Public safety / crime,61,0.393548
2023,Governance / operations,9,0.058065
2023,Politics / elections,0,0.0
2023,Housing,4,0.025806
2023,Transportation / streets / infrastructure,4,0.025806
2023,Culture / history,26,0.167742
2023,Data / methods,18,0.116129
2023,Cross-cutting series,20,0.129032
2023,Health / human services,4,0.025806
2023,Education / youth,2,0.012903
2023,Economy / labor / tech,2,0.012903
2023,Demography / immigration,0,0.0
2023,Race / inequality,1,0.006452
2023,Climate / environment,1,0.006452
2023,Other / unclassified,3,0.019355
2024,Public safety / crime,67,0.300448
2024,Governance / operations,22,0.098655
2024,Politics / elections,6,0.026906
2024,Housing,3,0.013453
2024,Transportation / streets / infrastructure,29,0.130045
2024,Culture / history,28,0.125561
2024,Data / methods,17,0.076233
2024,Cross-cutting series,38,0.170404
2024,Health / human services,5,0.022422
2024,Education / youth,2,0.008969
2024,Economy / labor / tech,4,0.017937
2024,Demography / immigration,0,0.0
2024,Race / inequality,1,0.004484
2024,Climate / environment,0,0.0
2024,Other / unclassified,1,0.004484
2025,Public safety / crime,55,0.191638
2025,Governance / operations,47,0.163763
2025,Politics / elections,22,0.076655
2025,Housing,30,0.10453
2025,Transportation / streets / infrastructure,28,0.097561
2025,Culture / history,36,0.125436
2025,Data / methods,9,0.031359
2025,Cross-cutting series,28,0.097561
2025,Health / human services,10,0.034843
2025,Education / youth,8,0.027875
2025,Economy / labor / tech,7,0.02439
2025,Demography / immigration,1,0.003484
2025,Race / inequality,1,0.003484
2025,Climate / environment,2,0.006969
2025,Other / unclassified,3,0.010453
2026,Public safety / crime,16,0.258065
2026,Governance / operations,6,0.096774
2026,Politics / elections,1,0.016129
2026,Housing,7,0.112903
2026,Transportation / streets / infrastructure,10,0.16129
2026,Culture / history,2,0.032258
2026,Data / methods,0,0.0
2026,Cross-cutting series,6,0.096774
2026,Health / human services,3,0.048387
2026,Education / youth,1,0.016129
2026,Economy / labor / tech,2,0.032258
2026,Demography / immigration,4,0.064516
2026,Race / inequality,0,0.0
2026,Climate / environment,2,0.032258
2026,Other / unclassified,2,0.032258
